rating_10,adj._gross_(eur),age_stats,homegrown_low_paid_flag,transfer_status,proxy_market_value,market_value_lag
2.9,4068343.0,31.0,0,0,67172.45,134297.56
6.0,7500000.0,29.0,0,2,288863.6,0.0
8.2,15000000.0,27.0,0,0,1299431.83,934042.13
0.6,283172.0,25.0,1,0,1316.32,0.0
7.3,440000.0,34.0,1,0,17642.18,14888.51
5.5,860000.0,24.0,1,0,222180.94,168547.02
3.0,3390286.0,26.0,0,0,105858.22,0.0
7.2,125854.0,19.0,1,0,12944.34,0.0
3.5,300000.0,20.0,1,0,9847.14,7986.82
2.8,77249.0,19.0,1,0,2957.02,0.0
2.4,3210000.0,23.0,0,1,64113.29,98500.2
1.7,41951.0,17.0,1,0,786.41,0.0
1.9,788564.0,31.0,1,0,49819.42,0.0
1.6,130000.0,22.0,1,2,11365.15,1397.97
6.7,2340000.0,21.0,0,0,138443.34,0.0
5.8,3640000.0,20.0,0,2,1189299.4,291467.62
1.5,520000.0,24.0,1,0,6507.5,25148.81
7.3,1200000.0,36.0,1,2,69602.89,59789.46
10.0,1761956.0,37.0,0,0,530553.21,495883.91
6.7,485862.0,24.0,1,0,23895.59,45424.61
6.2,4420000.0,32.0,0,0,241648.36,337242.96
0.8,3170375.0,23.0,0,0,19542.11,0.0
3.3,44142.0,18.0,1,0,1389.1,0.0
6.1,190000.0,25.0,1,0,8674.46,4713.1
1.8,14580000.0,25.0,0,0,1255825.72,2756515.84
6.9,510000.0,21.0,1,0,31285.03,0.0
1.5,780000.0,28.0,1,0,8383.38,20427.94
6.9,2097627.0,30.0,0,0,466713.19,0.0
9.6,1853972.0,36.0,0,0,495883.91,0.0
0.9,56614.0,18.0,1,0,525.58,0.0
1.6,5200000.0,29.0,0,0,83213.36,225892.57
5.5,1388322.0,29.0,0,0,278815.99,339754.0
4.7,921734.0,26.0,1,0,178826.54,149151.74
4.2,930000.0,30.0,1,0,146465.88,252073.01
7.7,2377781.0,22.0,0,0,209440.62,0.0
2.5,3300000.0,31.0,0,0,76921.74,0.0
2.5,2898906.0,34.0,0,0,39593.89,181748.99
7.3,13130000.0,28.0,0,0,3849528.77,933479.79
1.6,900000.0,25.0,1,0,16126.12,0.0
6.6,2560000.0,24.0,0,2,131477.74,75523.47
